state,year,population
Johor,2024,4186300.0
Kedah,2024,2217500.0
Kelantan,2024,1888500.0
Melaka,2024,1047099.9999999999
Negeri Sembilan,2024,1240100.0
Pahang,2024,1668200.0
Perak,2024,2569600.0
Perlis,2024,296800.0
Pulau Pinang,2024,1800400.0
Sabah,2024,3742200.0
Sarawak,2024,2518100.0
Selangor,2024,7363400.0
Terengganu,2024,1232100.0
W.P. Kuala Lumpur,2024,2067500.0
W.P. Labuan,2024,100800.0
W.P. Putrajaya,2024,120300.0
Total,2024,34058900.0
