state,population
Johor,4.1863
Kedah,2.2175
Kelantan,1.8885
Melaka,1.0471
Negeri Sembilan,1.2401
Pahang,1.6682000000000001
Perak,2.5696
Perlis,0.2968
Pulau Pinang,1.8004
Sabah,3.7422
Sarawak,2.5181
Selangor,7.3633999999999995
Terengganu,1.2321
W.P. Kuala Lumpur,2.0675
W.P. Labuan,0.1008
W.P. Putrajaya,0.12029999999999999
